,No.[a],Portrait,Name (birth–death),Term[16],Party[b][17],Party[b][17].1,Election,Vice President[18]
0,1,,George Washington (1732–1799) [19],"April 30, 1789 – March 4, 1797",,Unaffiliated,1788–89,John Adams[c]
1,1,,George Washington (1732–1799) [19],"April 30, 1789 – March 4, 1797",,Unaffiliated,1792,John Adams[c]
2,2,,John Adams (1735–1826) [21],"March 4, 1797 – March 4, 1801",,Federalist,1796,Thomas Jefferson[d]
3,3,,Thomas Jefferson (1743–1826) [23],"March 4, 1801 – March 4, 1809",,Democratic- Republican,1800,Aaron Burr
4,3,,Thomas Jefferson (1743–1826) [23],"March 4, 1801 – March 4, 1809",,Democratic- Republican,1804,George Clinton
5,4,,James Madison (1751–1836) [24],"March 4, 1809 – March 4, 1817",,Democratic- Republican,1808,George Clinton[e]
6,4,,James Madison (1751–1836) [24],"March 4, 1809 – March 4, 1817",,Democratic- Republican,1808,"Vacant after April 20, 1812"
7,4,,James Madison (1751–1836) [24],"March 4, 1809 – March 4, 1817",,Democratic- Republican,1812,Elbridge Gerry[e]
8,4,,James Madison (1751–1836) [24],"March 4, 1809 – March 4, 1817",,Democratic- Republican,1812,"Vacant after November 23, 1814"
9,5,,James Monroe (1758–1831) [26],"March 4, 1817 – March 4, 1825",,Democratic- Republican,1816,Daniel D. Tompkins
10,5,,James Monroe (1758–1831) [26],"March 4, 1817 – March 4, 1825",,Democratic- Republican,1820,Daniel D. Tompkins
11,6,,John Quincy Adams (1767–1848) [27],"March 4, 1825 – March 4, 1829",,Democratic- Republican[f],1824,John C. Calhoun[g]
12,6,,John Quincy Adams (1767–1848) [27],"March 4, 1825 – March 4, 1829",,National Republican,1824,John C. Calhoun[g]
13,7,,Andrew Jackson (1767–1845) [30],"March 4, 1829 – March 4, 1837",,Democratic,1828,John C. Calhoun[h]
14,7,,Andrew Jackson (1767–1845) [30],"March 4, 1829 – March 4, 1837",,Democratic,1828,"Vacant after December 28, 1832"
15,7,,Andrew Jackson (1767–1845) [30],"March 4, 1829 – March 4, 1837",,Democratic,1832,Martin Van Buren
16,8,,Martin Van Buren (1782–1862) [31],"March 4, 1837 – March 4, 1841",,Democratic,1836,Richard Mentor Johnson
17,9,,William Henry Harrison (1773–1841) [32],"March 4, 1841 – April 4, 1841[e]",,Whig,1840,John Tyler
18,10,,John Tyler (1790–1862) [33],"April 4, 1841[i] – March 4, 1845",,Whig[j],–,Vacant throughout presidency
19,10,,John Tyler (1790–1862) [33],"April 4, 1841[i] – March 4, 1845",,Unaffiliated,–,Vacant throughout presidency
20,11,,James K. Polk (1795–1849) [36],"March 4, 1845 – March 4, 1849",,Democratic,1844,George M. Dallas
21,12,,Zachary Taylor (1784–1850) [37],"March 4, 1849 – July 9, 1850[e]",,Whig,1848,Millard Fillmore
22,13,,Millard Fillmore (1800–1874) [38],"July 9, 1850[k] – March 4, 1853",,Whig,–,Vacant throughout presidency
23,14,,Franklin Pierce (1804–1869) [40],"March 4, 1853 – March 4, 1857",,Democratic,1852,William R. King[e]
24,14,,Franklin Pierce (1804–1869) [40],"March 4, 1853 – March 4, 1857",,Democratic,1852,"Vacant after April 18, 1853"
25,15,,James Buchanan (1791–1868) [41],"March 4, 1857 – March 4, 1861",,Democratic,1856,John C. Breckinridge
26,16,,Abraham Lincoln (1809–1865) [42],"March 4, 1861 – April 15, 1865[e]",,Republican,1860,Hannibal Hamlin
27,16,,Abraham Lincoln (1809–1865) [42],"March 4, 1861 – April 15, 1865[e]",,National Union[l],1864,Andrew Johnson
28,17,,Andrew Johnson (1808–1875) [44],"April 15, 1865[m] – March 4, 1869",,National Union[n],–,Vacant throughout presidency
29,17,,Andrew Johnson (1808–1875) [44],"April 15, 1865[m] – March 4, 1869",,Democratic,–,Vacant throughout presidency
30,18,,Ulysses S. Grant (1822–1885) [45],"March 4, 1869 – March 4, 1877",,Republican,1868,Schuyler Colfax
31,18,,Ulysses S. Grant (1822–1885) [45],"March 4, 1869 – March 4, 1877",,Republican,1872,Henry Wilson[e]
32,18,,Ulysses S. Grant (1822–1885) [45],"March 4, 1869 – March 4, 1877",,Republican,1872,"Vacant after November 22, 1875"
33,19,,Rutherford B. Hayes (1822–1893) [46],"March 4, 1877 – March 4, 1881",,Republican,1876,William A. Wheeler
34,20,,James A. Garfield (1831–1881) [47],"March 4, 1881 – September 19, 1881[e]",,Republican,1880,Chester A. Arthur
35,21,,Chester A. Arthur (1829–1886) [48],"September 19, 1881[o] – March 4, 1885",,Republican,–,Vacant throughout presidency
36,22,,Grover Cleveland (1837–1908) 1st term [50],"March 4, 1885 – March 4, 1889",,Democratic,1884,Thomas A. Hendricks[e]
37,22,,Grover Cleveland (1837–1908) 1st term [50],"March 4, 1885 – March 4, 1889",,Democratic,1884,"Vacant after November 25, 1885"
38,23,,Benjamin Harrison (1833–1901) [51],"March 4, 1889 – March 4, 1893",,Republican,1888,Levi P. Morton
39,24,,Grover Cleveland (1837–1908) 2nd term [50],"March 4, 1893 – March 4, 1897",,Democratic,1892,Adlai Stevenson I
40,25,,William McKinley (1843–1901) [52],"March 4, 1897 – September 14, 1901[e]",,Republican,1896,Garret Hobart[e]
41,25,,William McKinley (1843–1901) [52],"March 4, 1897 – September 14, 1901[e]",,Republican,1896,"Vacant after November 21, 1899"
42,25,,William McKinley (1843–1901) [52],"March 4, 1897 – September 14, 1901[e]",,Republican,1900,Theodore Roosevelt
43,26,,Theodore Roosevelt (1858–1919) [53],"September 14, 1901[p] – March 4, 1909",,Republican,–,"Vacant through March 4, 1905"
44,26,,Theodore Roosevelt (1858–1919) [53],"September 14, 1901[p] – March 4, 1909",,Republican,1904,Charles W. Fairbanks
45,27,,William Howard Taft (1857–1930) [55],"March 4, 1909 – March 4, 1913",,Republican,1908,James S. Sherman[e]
46,27,,William Howard Taft (1857–1930) [55],"March 4, 1909 – March 4, 1913",,Republican,1908,"Vacant after October 30, 1912"
47,28,,Woodrow Wilson (1856–1924) [56],"March 4, 1913 – March 4, 1921",,Democratic,1912,Thomas R. Marshall
48,28,,Woodrow Wilson (1856–1924) [56],"March 4, 1913 – March 4, 1921",,Democratic,1916,Thomas R. Marshall
49,29,,Warren G. Harding (1865–1923) [57],"March 4, 1921 – August 2, 1923[e]",,Republican,1920,Calvin Coolidge
50,30,,Calvin Coolidge (1872–1933) [58],"August 2, 1923[q] – March 4, 1929",,Republican,–,"Vacant through March 4, 1925"
51,30,,Calvin Coolidge (1872–1933) [58],"August 2, 1923[q] – March 4, 1929",,Republican,1924,Charles G. Dawes
52,31,,Herbert Hoover (1874–1964) [60],"March 4, 1929 – March 4, 1933",,Republican,1928,Charles Curtis
53,32,,Franklin D. Roosevelt (1882–1945) [61],"March 4, 1933 – April 12, 1945[e]",,Democratic,1932,John Nance Garner
54,32,,Franklin D. Roosevelt (1882–1945) [61],"March 4, 1933 – April 12, 1945[e]",,Democratic,1936,John Nance Garner
55,32,,Franklin D. Roosevelt (1882–1945) [61],"March 4, 1933 – April 12, 1945[e]",,Democratic,1940,Henry A. Wallace
56,32,,Franklin D. Roosevelt (1882–1945) [61],"March 4, 1933 – April 12, 1945[e]",,Democratic,1944,Harry S. Truman
57,33,,Harry S. Truman (1884–1972) [62],"April 12, 1945[r] – January 20, 1953",,Democratic,–,"Vacant through January 20, 1949"
58,33,,Harry S. Truman (1884–1972) [62],"April 12, 1945[r] – January 20, 1953",,Democratic,1948,Alben W. Barkley
59,34,,Dwight D. Eisenhower (1890–1969) [64],"January 20, 1953 – January 20, 1961",,Republican,1952,Richard Nixon
60,34,,Dwight D. Eisenhower (1890–1969) [64],"January 20, 1953 – January 20, 1961",,Republican,1956,Richard Nixon
61,35,,John F. Kennedy (1917–1963) [65],"January 20, 1961 – November 22, 1963[e]",,Democratic,1960,Lyndon B. Johnson
62,36,,Lyndon B. Johnson (1908–1973) [66],"November 22, 1963[s] – January 20, 1969",,Democratic,–,"Vacant through January 20, 1965"
63,36,,Lyndon B. Johnson (1908–1973) [66],"November 22, 1963[s] – January 20, 1969",,Democratic,1964,Hubert Humphrey
64,37,,Richard Nixon (1913–1994) [68],"January 20, 1969 – August 9, 1974[h]",,Republican,1968,Spiro Agnew[h]
65,37,,Richard Nixon (1913–1994) [68],"January 20, 1969 – August 9, 1974[h]",,Republican,1972,Spiro Agnew[h]
66,37,,Richard Nixon (1913–1994) [68],"January 20, 1969 – August 9, 1974[h]",,Republican,1972,"Vacant: October 10 – December 6, 1973"
67,37,,Richard Nixon (1913–1994) [68],"January 20, 1969 – August 9, 1974[h]",,Republican,1972,Gerald Ford[t]
68,38,,Gerald Ford (1913–2006) [69],"August 9, 1974[u] – January 20, 1977",,Republican,–,"Vacant through December 19, 1974"
69,38,,Gerald Ford (1913–2006) [69],"August 9, 1974[u] – January 20, 1977",,Republican,–,Nelson Rockefeller[t]
70,39,,Jimmy Carter (1924–2024) [70],"January 20, 1977 – January 20, 1981",,Democratic,1976,Walter Mondale
71,40,,Ronald Reagan (1911–2004) [71],"January 20, 1981 – January 20, 1989",,Republican,1980,George H. W. Bush
72,40,,Ronald Reagan (1911–2004) [71],"January 20, 1981 – January 20, 1989",,Republican,1984,George H. W. Bush
73,41,,George H. W. Bush (1924–2018) [72],"January 20, 1989 – January 20, 1993",,Republican,1988,Dan Quayle
74,42,,Bill Clinton (b. 1946) [73],"January 20, 1993 – January 20, 2001",,Democratic,1992,Al Gore
75,42,,Bill Clinton (b. 1946) [73],"January 20, 1993 – January 20, 2001",,Democratic,1996,Al Gore
76,43,,George W. Bush (b. 1946) [74],"January 20, 2001 – January 20, 2009",,Republican,2000,Dick Cheney
77,43,,George W. Bush (b. 1946) [74],"January 20, 2001 – January 20, 2009",,Republican,2004,Dick Cheney
78,44,,Barack Obama (b. 1961) [75],"January 20, 2009 – January 20, 2017",,Democratic,2008,Joe Biden
79,44,,Barack Obama (b. 1961) [75],"January 20, 2009 – January 20, 2017",,Democratic,2012,Joe Biden
80,45,,Donald Trump (b. 1946) 1st term [76],"January 20, 2017 – January 20, 2021",,Republican,2016,Mike Pence
81,46,,Joe Biden (b. 1942) [77],"January 20, 2021 – January 20, 2025",,Democratic,2020,Kamala Harris
82,47,,Donald Trump (b. 1946) 2nd term [76],"January 20, 2025 – Incumbent",,Republican,2024,JD Vance
